,shopid,title,areaname,backCateName,avgprice,avgscore,latitude,longitude,comments,historyCouponCount,city,address,isMain,record
3677,1237969463,然溪谷豆沙牛乳,桂林路,奶茶/果汁,17.0,4.2,43.8664,125.321,18,491,长春,朝阳区,1,1
3678,1238037838,冰雪时光,小清河/盖世物流,奶茶/果汁,5.0,4.3,36.7102,117.0302,43,1138,济南,天桥区,1,1
3679,1238150662,半橙熟,城关区,奶茶/果汁,0.0,0.0,29.6575,91.157,0,0,拉萨,城关区,1,0
3680,1238181194,益禾堂,大运,奶茶/果汁,8.0,4.0,22.6978,114.2288,502,7103,深圳,龙岗区,1,1
3681,1238246182,贡茶,陕西路,奶茶/果汁,9.0,4.1,26.5858,106.7157,39,321,贵阳,云岩区,1,1
3682,1238254171,茶百道,迎宾路,奶茶/果汁,15.0,4.7,43.8956,87.544,17,92,乌鲁木齐,新市区,1,1
3683,1238288409,宝葫芦西北茶食铺,新千国际,地方小吃,24.0,4.3,36.6071,101.7983,252,3532,西宁,城东区,0,1
3684,1238288517,奶茶屋,五常市,奶茶/果汁,0.0,0.0,45.2361,126.869,0,0,哈尔滨,五常市,1,0
3685,1238321409,茶百道,北碚,奶茶/果汁,15.0,4.4,29.8211,106.5273,17,203,重庆,北碚区,1,1
3686,1238324209,茶百道,草场门/龙江,奶茶/果汁,16.0,4.3,32.0548,118.7426,34,1127,南京,鼓楼区,1,1
3687,1238401394,蜜雪冰城,北环路,奶茶/果汁,7.0,3.7,34.1593,109.3161,30,415,西安,蓝田县,1,1
3688,1238715933,新时沏,观音山,奶茶/果汁,16.0,4.1,24.497,118.1934,62,822,厦门,思明区,1,1
3689,1238739135,等你下课奶茶,大学城,奶茶/果汁,0.0,0.0,26.3985,106.6662,0,0,贵阳,花溪区,1,0
3690,1238912862,茶芸间汉堡奶茶店,头桥,奶茶/果汁,0.0,0.0,26.5828,106.6938,0,0,贵阳,云岩区,1,0
3691,1238947637,古茗,东湖风景区,奶茶/果汁,15.0,4.9,30.589,114.4298,83,1856,武汉,洪山区,1,1
3692,1238960367,将军茶饮,航空路,奶茶/果汁,10.0,3.7,28.6075,115.9324,15,244,南昌,青云谱区,1,1
3693,1239140464,茶不易雪酪奶茶,正定,奶茶/果汁,10.0,4.0,38.1548,114.5681,6,54,石家庄,正定县,1,1
3694,1239178584,眷茶,曼哈顿广场/英协路,奶茶/果汁,17.0,4.4,34.7617,113.7081,1,76,郑州,金水区,1,1
3695,1239486692,后巷奶茶屋,南明区,奶茶/果汁,0.0,0.0,26.546,106.7058,0,0,贵阳,南明区,1,0
3696,1239700035,喜茶,天虹汇一城,奶茶/果汁,29.0,4.7,22.5724,113.8591,0,0,深圳,宝安区,1,1
3697,1239732866,书亦烧仙草,高新区,奶茶/果汁,13.0,4.4,31.8316,117.133,229,3406,合肥,蜀山区,1,1
3698,1239807574,益禾堂,东二环泰禾广场,奶茶/果汁,9.0,3.9,26.0919,119.3359,524,8744,福州,晋安区,1,1
3699,1239818576,往事若茶,韩森寨,奶茶/果汁,18.0,4.3,34.2649,109.0153,0,20,西安,新城区,1,1
3700,1239930858,蜜雪冰城,西广场,奶茶/果汁,6.0,4.5,43.909,125.3205,3,73,长春,宽城区,1,1
3701,1239945169,鄰里手打柠檬茶,王府井,奶茶/果汁,18.0,4.1,26.0923,119.3032,5,141,福州,鼓楼区,1,1
3702,1240040071,台湾贡茶,云岗,奶茶/果汁,17.0,4.0,39.8098,116.1651,24,229,北京,丰台区,1,1
3703,1240051870,桃园三章,江南西,奶茶/果汁,10.0,4.0,23.0939,113.2687,658,12092,广州,海珠区,1,1
3704,1240120528,7分甜,洋泾,奶茶/果汁,17.0,4.5,31.2417,121.5557,277,10083,上海,浦东新区,1,1
3705,1240183869,新时沏,青山,奶茶/果汁,15.0,4.8,30.258,119.8291,249,3887,杭州,临安区,1,1
3706,1240443942,蜜雪冰城,中街/故宫,冰淇淋,6.0,4.1,41.8052,123.4578,2,72,沈阳,大东区,1,1
3707,1240471449,拾觉奶茶,金源街,奶茶/果汁,0.0,0.0,26.6023,106.6314,0,0,贵阳,观山湖区,1,0
3708,1240531522,茶百道,观沙岭/茶子山,奶茶/果汁,15.0,4.6,28.2417,112.9564,9,209,长沙,岳麓区,1,1
3709,1240583071,漫时光奶茶,福都生活广场,奶茶/果汁,0.0,0.0,34.7128,113.6885,0,0,郑州,管城回族区,1,0
3710,1240699469,元氣插座,大召,奶茶/果汁,15.0,0.0,40.7996,111.6554,0,0,呼和浩特,玉泉区,1,0
3711,1240722776,遇苋烧仙草,沙河,奶茶/果汁,15.0,4.3,40.1492,116.2928,8,237,北京,昌平区,1,1
3712,1240752634,蜜雪冰城,新华学院,奶茶/果汁,6.0,0.0,31.8283,117.1669,0,14,合肥,蜀山区,1,0
3713,1240849068,伏小桃,同德昆明广场,奶茶/果汁,22.0,4.3,25.0679,102.7237,0,59,昆明,盘龙区,1,1
3714,1240975489,贡茶,老城厢/鼓楼,奶茶/果汁,0.0,4.1,39.1453,117.1802,0,0,天津,南开区,1,0
3715,1241003548,7分甜,松江万达广场,奶茶/果汁,20.0,4.4,31.0581,121.243,314,7646,上海,松江区,1,1
3716,1241134930,古茗,福清,奶茶/果汁,15.0,4.2,25.7218,119.4035,24,180,福州,福清市,1,1
3717,1241174505,本宫的茶,武广高铁,奶茶/果汁,14.0,4.2,28.1569,113.0594,103,1455,长沙,雨花区,1,1
3718,1241523827,古茗,火车站,奶茶/果汁,15.0,4.5,24.4721,118.1257,15,443,厦门,思明区,1,1
3719,1241544987,蜜雪冰城(贸易巷),新城,奶茶/果汁,0.0,0.0,38.4847,106.1862,0,0,银川,金凤区,1,0
3720,1241557192,茶百道,中关村,奶茶/果汁,15.0,4.0,39.9795,116.3143,10,495,北京,海淀区,1,1
3721,1241727135,悸动奶茶烧仙草,福州大学城,奶茶/果汁,0.0,4.1,26.0737,119.1626,4,72,福州,闽侯县,1,0
3722,1241791693,Wedrink茶主张,喀什西路,奶茶/果汁,0.0,4.2,43.8815,87.5268,0,0,乌鲁木齐,新市区,1,0
3723,1241801579,仓麻客,赛罕区,奶茶/果汁,0.0,4.2,40.7793,111.7332,0,0,呼和浩特,赛罕区,1,0
3724,1242223982,沪上阿姨鲜果茶,东胜广场,奶茶/果汁,0.0,4.2,38.0428,114.5557,0,0,石家庄,长安区,1,0
3725,1242357975,简单鸡排奶茶,福清,奶茶/果汁,0.0,0.0,25.7262,119.3308,0,0,福州,福清市,1,0
3726,1242379308,牛茶,王府井/东单,奶茶/果汁,100.0,4.6,39.9124,116.4097,13,2449,北京,东城区,1,1
3727,1242469952,憨豆先生·五谷坚果奶茶,万达广场,奶茶/果汁,0.0,0.0,25.7161,119.3488,0,0,福州,福清市,1,0
3728,1242495681,KOI Thé,湖里步行街,奶茶/果汁,23.0,4.4,24.5107,118.0979,7,564,厦门,湖里区,1,1
3729,1242617908,CoCo都可,高新文教区,奶茶/果汁,13.0,4.7,30.2884,120.1241,156,2907,杭州,西湖区,1,1
3730,1242741425,一杯奶茶,高崎火车站,奶茶/果汁,0.0,0.0,24.5351,118.1157,0,0,厦门,湖里区,1,0
